# kernel32.dll exports and whether Windows XP SP3 (5.1) has them.
# Source: Geoff Chappell, 'KERNEL32 Functions' (geoffchappell.com/studies/windows/win32/kernel32/api),
# column = version range the export exists in. Format: name<TAB>xp|no<TAB>versions
# Generated once; re-run scripts/fetch-exports.py to refresh.
DeleteSynchronizationBarrier	no	6.3 and higher
DeleteTimerQueue	xp	5.0 and higher
DeleteTimerQueueEx	xp	5.0 and higher
DeleteTimerQueueTimer	xp	5.0 and higher
DeleteUmsCompletionList	no	6.1 and higher (x64 only)
DeleteUmsThreadContext	no	6.1 and higher (x64 only)
DeleteVolumeMountPointA	xp	5.0 and higher
DeleteVolumeMountPointW	xp	5.0 and higher
DequeueUmsCompletionListItems	no	6.1 and higher (x64 only)
DeviceIoControl	xp	3.51 and higher
DisableThreadLibraryCalls	xp	3.51 and higher
DisableThreadProfiling	no	6.1 and higher
DisassociateCurrentThreadFromCallback	no	6.0 and higher
DiscardVirtualMemory	no	10.0 and higher
DisconnectNamedPipe	xp	3.51 and higher
DnsHostnameToComputerNameA	xp	5.0 and higher
DnsHostnameToComputerNameExW	no	6.3 and higher
DnsHostnameToComputerNameW	xp	5.0 and higher
DosDateTimeToFileTime	xp	3.51 and higher
DosPathToSessionPathA	xp	5.0 and higher
DosPathToSessionPathW	xp	5.0 and higher
DuplicateConsoleHandle	no	3.51 and higher (NT only)
DuplicateEncryptionInfoFileExt	no	6.2 and higher
DuplicateHandle	xp	3.51 and higher
DuplicateStateContainerHandle	no	6.2 only
EnableThreadProfiling	no	6.1 and higher
EncodePointer	?	some 5.1 and 5.2, and higher; 
    begins in 5.1 from Windows XP SP2; 
    begins in 5.2 from Windows Server 2003 SP1
EncodeSystemPointer	?	some 5.1 and 5.2, and higher; 
    begins in 5.1 from Windows XP SP2; 
    begins in 5.2 from Windows Server 2003 SP1
EndUpdateResourceA	xp	3.51 and higher
EndUpdateResourceW	xp	3.51 and higher
EnterCriticalSection	xp	3.51 and higher
EnterSynchronizationBarrier	no	6.3 and higher
EnterUmsSchedulingMode	no	6.1 and higher (x64 only)
EnumCalendarInfoA	xp	3.51 and higher
EnumCalendarInfoExA	xp	4.10 and higher
EnumCalendarInfoExEx	no	6.0 and higher
EnumCalendarInfoExW	xp	4.10 and higher
EnumCalendarInfoW	xp	3.51 and higher
EnumDateFormatsA	xp	3.51 and higher
EnumDateFormatsExA	xp	4.10 and higher
EnumDateFormatsExEx	no	6.0 and higher
EnumDateFormatsExW	xp	4.10 and higher
EnumDateFormatsW	xp	3.51 and higher
EnumLanguageGroupLocalesA	xp	4.90 and higher
EnumLanguageGroupLocalesW	xp	4.90 and higher
EnumResourceLanguagesA	xp	3.51 and higher
EnumResourceLanguagesExA	no	6.0 and higher
EnumResourceLanguagesExW	no	6.0 and higher
EnumResourceLanguagesW	xp	3.51 and higher
EnumResourceNamesA	xp	3.51 and higher
EnumResourceNamesExA	no	6.0 and higher
EnumResourceNamesExW	no	6.0 and higher
EnumResourceNamesW	xp	3.51 and higher
EnumResourceTypesA	xp	3.51 and higher
EnumResourceTypesExA	no	6.0 and higher
EnumResourceTypesExW	no	6.0 and higher
EnumResourceTypesW	xp	3.51 and higher
EnumSystemCodePagesA	xp	3.51 and higher
EnumSystemCodePagesW	xp	3.51 and higher
EnumSystemFirmwareTables	no	5.2 from Windows Server 2003 SP1, and higher
EnumSystemGeoID	no	4.90 only (Windows); 
    5.1 and higher (NT)
EnumSystemLanguageGroupsA	xp	4.90 and higher
EnumSystemLanguageGroupsW	xp	4.90 and higher
EnumSystemLocalesA	xp	3.51 and higher
EnumSystemLocalesEx	no	6.0 and higher
EnumSystemLocalesW	xp	3.51 and higher
EnumTimeFormatsA	xp	3.51 and higher
EnumTimeFormatsEx	no	6.0 and higher
EnumTimeFormatsW	xp	3.51 and higher
EnumUILanguagesA	xp	4.90 and higher
EnumUILanguagesW	xp	4.90 and higher
EnumerateLocalComputerNamesA	xp	5.1 and higher
EnumerateLocalComputerNamesW	xp	5.1 and higher
EnumerateStateAtomValues	no	6.2 only
EnumerateStateContainerItems	no	6.2 only
EraseTape	xp	3.51 and higher
EscapeCommFunction	xp	3.51 and higher
ExecuteUmsThread	no	6.1 and higher (x64 only)
ExitProcess	xp	3.51 and higher
ExitThread	xp	3.51 and higher
ExitVDM	no	3.51 and higher (NT only)
ExpandEnvironmentStringsA	xp	3.51 and higher
ExpandEnvironmentStringsW	xp	3.51 and higher
ExpungeConsoleCommandHistoryA	no	3.51 and higher (NT only)
ExpungeConsoleCommandHistoryW	no	3.51 and higher (NT only)
ExtendVirtualBuffer	no	3.51 to 5.2 before Windows Server 2003 SP1 (NT only)
FT_Exit0	no	4.0 to 4.90 (Windows only)
FT_Exit12	no	4.0 to 4.90 (Windows only)
FT_Exit16	no	4.0 to 4.90 (Windows only)
FT_Exit20	no	4.0 to 4.90 (Windows only)
FT_Exit24	no	4.0 to 4.90 (Windows only)
FT_Exit28	no	4.0 to 4.90 (Windows only)
FT_Exit32	no	4.0 to 4.90 (Windows only)
FT_Exit36	no	4.0 to 4.90 (Windows only)
FT_Exit4	no	4.0 to 4.90 (Windows only)
FT_Exit40	no	4.0 to 4.90 (Windows only)
FT_Exit44	no	4.0 to 4.90 (Windows only)
FT_Exit48	no	4.0 to 4.90 (Windows only)
FT_Exit52	no	4.0 to 4.90 (Windows only)
FT_Exit56	no	4.0 to 4.90 (Windows only)
FT_Exit8	no	4.0 to 4.90 (Windows only)
FT_Prolog	no	4.0 to 4.90 (Windows only)
FT_Thunk	no	4.0 to 4.90 (Windows only)
FatalAppExitA	xp	3.51 and higher
FatalAppExitW	xp	3.51 and higher
FatalExit	xp	3.51 and higher
FileTimeToDosDateTime	xp	3.51 and higher
FileTimeToLocalFileTime	xp	3.51 and higher
FileTimeToSystemTime	xp	3.51 and higher
FillConsoleOutputAttribute	xp	3.51 and higher
FillConsoleOutputCharacterA	xp	3.51 and higher
FillConsoleOutputCharacterW	xp	3.51 and higher
FindActCtxSectionGuid	xp	5.1 and higher
FindActCtxSectionGuidWorker	no	6.2 and higher
FindActCtxSectionStringA	xp	5.1 and higher
FindActCtxSectionStringW	xp	5.1 and higher
FindActCtxSectionStringWWorker	no	6.2 and higher
FindAtomA	xp	3.51 and higher
FindAtomW	xp	3.51 and higher
FindClose	xp	3.51 and higher
FindCloseChangeNotification	xp	3.51 and higher
FindFirstChangeNotificationA	xp	3.51 and higher
FindFirstChangeNotificationW	xp	3.51 and higher
FindFirstFileA	xp	3.51 and higher
FindFirstFileExA	xp	4.0 from Windows NT 4.0, and higher
FindFirstFileExW	xp	4.0 from Windows NT 4.0, and higher
FindFirstFileNameTransactedW	no	6.0 and higher
FindFirstFileNameW	no	6.0 and higher
FindFirstFileTransactedA	no	6.0 and higher
FindFirstFileTransactedW	no	6.0 and higher
FindFirstFileW	xp	3.51 and higher
FindFirstStreamTransactedW	no	6.0 and higher
FindFirstStreamW	no	5.2 and higher
FindFirstVolumeA	xp	5.0 and higher
FindFirstVolumeMountPointA	xp	5.0 and higher
FindFirstVolumeMountPointW	xp	5.0 and higher
FindFirstVolumeW	xp	5.0 and higher
FindNLSString	no	6.0 and higher
FindNLSStringEx	no	6.0 and higher
FindNextChangeNotification	xp	3.51 and higher
FindNextFileA	xp	3.51 and higher
FindNextFileNameW	no	6.0 and higher
FindNextFileW	xp	3.51 and higher
